"","country_region","metro_area","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"550","Georgia",NA,2020-11-07,-32,-9,-29,-11,-16,7
"551","Georgia",NA,2020-11-08,-26,-7,-15,-6,-10,4
"552","Georgia",NA,2020-11-09,-38,-18,-24,-17,-36,13
"553","Georgia",NA,2020-11-10,-35,-14,-30,-17,-36,14
"554","Georgia",NA,2020-11-11,-37,-13,-30,-16,-38,13
"555","Georgia",NA,2020-11-12,-37,-14,-30,-19,-37,14
"556","Georgia",NA,2020-11-13,-37,-9,-28,-15,-32,14
"557","Georgia",NA,2020-11-14,-33,-12,-22,-11,-17,7
"558","Georgia",NA,2020-11-15,-29,-8,-15,-11,-12,5
"559","Georgia",NA,2020-11-16,-40,-19,-31,-19,-36,13
"560","Georgia",NA,2020-11-17,-37,-15,-29,-20,-37,14
"561","Georgia",NA,2020-11-18,-43,-20,-41,-21,-39,15
"562","Georgia",NA,2020-11-19,-42,-20,-47,-27,-39,16
"563","Georgia",NA,2020-11-20,-35,-7,-41,-17,-35,15
"564","Georgia",NA,2020-11-21,-24,2,-28,-5,-18,5
"565","Georgia",NA,2020-11-22,-19,1,-13,-4,-10,5
"566","Georgia",NA,2020-11-23,-39,-19,-45,-29,-62,18
"567","Georgia",NA,2020-11-24,-37,-14,-29,-20,-37,14
"568","Georgia",NA,2020-11-25,-40,-14,-36,-20,-38,15
"569","Georgia",NA,2020-11-26,-31,-8,-30,-18,-37,14
"570","Georgia",NA,2020-11-27,-13,12,-25,1,-31,11
"571","Georgia",NA,2020-11-28,-57,-19,-24,-35,-26,12
"572","Georgia",NA,2020-11-29,-58,-19,-19,-36,-24,10
"573","Georgia",NA,2020-11-30,-59,-24,-38,-42,-45,18
"574","Georgia",NA,2020-12-01,-57,-18,-35,-40,-47,19
"575","Georgia",NA,2020-12-02,-58,-17,-23,-37,-47,17
"576","Georgia",NA,2020-12-03,-59,-20,-32,-42,-46,19
"577","Georgia",NA,2020-12-04,-59,-16,-32,-38,-42,19
"578","Georgia",NA,2020-12-05,-59,-20,-37,-37,-29,12
"579","Georgia",NA,2020-12-06,-62,-22,-45,-40,-27,11
"580","Georgia",NA,2020-12-07,-61,-25,-45,-44,-47,18
"581","Georgia",NA,2020-12-08,-59,-20,-40,-42,-45,19
"582","Georgia",NA,2020-12-09,-61,-24,-42,-40,-47,18
"583","Georgia",NA,2020-12-10,-59,-22,-38,-40,-46,19
"584","Georgia",NA,2020-12-11,-60,-18,-40,-38,-43,19
"585","Georgia",NA,2020-12-12,-58,-19,-32,-34,-28,12
"586","Georgia",NA,2020-12-13,-56,-14,-9,-29,-23,8
"587","Georgia",NA,2020-12-14,-59,-23,-34,-38,-44,17
"588","Georgia",NA,2020-12-15,-58,-20,-36,-38,-45,18
"589","Georgia",NA,2020-12-16,-57,-18,-33,-34,-45,17
"590","Georgia",NA,2020-12-17,-58,-22,-33,-38,-44,18
"591","Georgia",NA,2020-12-18,-57,-15,-28,-33,-39,17
"592","Georgia",NA,2020-12-19,-56,-17,-22,-30,-24,10
"593","Georgia",NA,2020-12-20,-54,-12,-7,-27,-19,8
"594","Georgia",NA,2020-12-21,-56,-19,-27,-34,-41,16
"595","Georgia",NA,2020-12-22,-56,-19,-35,-36,-42,16
"596","Georgia",NA,2020-12-23,-58,-19,-44,-36,-43,16
"597","Georgia",NA,2020-12-24,-42,-9,-30,-28,-39,14
"598","Georgia",NA,2020-12-25,-39,1,-19,-19,-34,13
"599","Georgia",NA,2020-12-26,-35,3,-16,-14,-15,6
"600","Georgia",NA,2020-12-27,-29,11,-1,-7,-2,4
"601","Georgia",NA,2020-12-28,-36,-2,-19,-19,-37,11
"602","Georgia",NA,2020-12-29,-32,8,-20,-17,-39,12
"603","Georgia",NA,2020-12-30,-33,15,-25,-15,-43,12
"604","Georgia",NA,2020-12-31,-34,20,-18,-18,-55,14
"605","Georgia",NA,2021-01-01,-74,-49,-41,-44,-79,22
"606","Georgia",NA,2021-01-02,-62,-35,-32,-40,-58,12
"607","Georgia",NA,2021-01-03,-68,-35,-25,-39,-38,8
"608","Georgia",NA,2021-01-04,-65,-35,-45,-45,-56,19
"609","Georgia",NA,2021-01-05,-61,-27,-38,-42,-54,19
"610","Georgia",NA,2021-01-06,-55,-14,-22,-27,-52,13
"611","Georgia",NA,2021-01-07,-70,-36,-36,-45,-73,22
"612","Georgia",NA,2021-01-08,-62,-24,-39,-37,-50,18
"613","Georgia",NA,2021-01-09,-58,-22,-16,-30,-26,9
"614","Georgia",NA,2021-01-10,-57,-17,-5,-26,-16,6
"615","Georgia",NA,2021-01-11,-58,-23,-39,-35,-44,16
"616","Georgia",NA,2021-01-12,-57,-19,-37,-34,-45,16
"617","Georgia",NA,2021-01-13,-58,-14,-36,-32,-47,13
"618","Georgia",NA,2021-01-14,-63,-29,-33,-42,-52,13
"619","Georgia",NA,2021-01-15,-62,-26,-45,-41,-46,14
"620","Georgia",NA,2021-01-16,-60,-27,-38,-35,-29,8
"621","Georgia",NA,2021-01-17,-58,-21,-19,-30,-23,5
"622","Georgia",NA,2021-01-18,-60,-27,-46,-38,-44,13
"623","Georgia",NA,2021-01-19,-60,-24,-39,-39,-63,18
"624","Georgia",NA,2021-01-20,-59,-24,-41,-35,-43,13
"625","Georgia",NA,2021-01-21,-58,-23,-42,-38,-43,15
"626","Georgia",NA,2021-01-22,-56,-15,-32,-31,-37,14
"627","Georgia",NA,2021-01-23,-55,-17,-19,-27,-24,7
"628","Georgia",NA,2021-01-24,-55,-16,-9,-25,-17,5
"629","Georgia",NA,2021-01-25,-56,-20,-33,-33,-40,13
"630","Georgia",NA,2021-01-26,-54,-18,-28,-33,-40,13
"631","Georgia",NA,2021-01-27,-55,-17,-26,-30,-40,13
"632","Georgia",NA,2021-01-28,-55,-17,-29,-34,-40,14
"633","Georgia",NA,2021-01-29,-54,-11,-31,-31,-34,13
"634","Georgia",NA,2021-01-30,-53,-13,-22,-29,-20,7
"635","Georgia",NA,2021-01-31,-53,-10,-11,-29,-14,4
"636","Georgia",NA,2021-02-01,-43,-10,-20,-30,-36,10
"637","Georgia",NA,2021-02-02,-40,-6,-17,-29,-36,11
"638","Georgia",NA,2021-02-03,-44,-9,-17,-29,-37,10
"639","Georgia",NA,2021-02-04,-45,-10,-18,-34,-37,11
"640","Georgia",NA,2021-02-05,-47,-7,-39,-33,-32,12
"641","Georgia",NA,2021-02-06,-51,-12,-19,-30,-20,6
"642","Georgia",NA,2021-02-07,-56,-16,-23,-34,-18,4
"643","Georgia",NA,2021-02-08,-38,-9,-24,-17,-33,9
"644","Georgia",NA,2021-02-09,-37,-7,-29,-17,-33,10
"645","Georgia",NA,2021-02-10,-37,-4,-16,-13,-33,9
"646","Georgia",NA,2021-02-11,-34,-4,-13,-15,-32,9
"647","Georgia",NA,2021-02-12,-33,4,-12,-9,-27,8
"648","Georgia",NA,2021-02-13,-53,-13,-29,-32,-22,6
"649","Georgia",NA,2021-02-14,-49,-3,6,-26,-13,3
"650","Georgia",NA,2021-02-15,-31,-2,-16,-9,-28,6
"651","Georgia",NA,2021-02-16,-40,-8,-41,-18,-31,9
"652","Georgia",NA,2021-02-17,-45,-10,-33,-18,-33,10
"653","Georgia",NA,2021-02-18,-39,-7,-38,-19,-30,10
"654","Georgia",NA,2021-02-19,-35,4,-33,-11,-23,9
"655","Georgia",NA,2021-02-20,-54,-10,-34,-33,-21,7
"656","Georgia",NA,2021-02-21,-54,-9,-21,-32,-16,6
