"","Country/Region","Date","R","ci_95_u","ci_95_l","ci_65_u","ci_65_l","days_infectious","last_updated"
"101","Georgia",2020-07-09,1.20715771734489,1.58281421973237,0.850675886340642,1.37795713928565,1.03533483034275,7,2021-02-25
"102","Georgia",2020-07-10,1.23695680904707,1.61283889416866,0.884859865566633,1.40538745486905,1.06685833704608,7,2021-02-25
"103","Georgia",2020-07-11,1.2698142257368,1.65504961966598,0.916360950727558,1.44147726812104,1.09794954425964,7,2021-02-25
"104","Georgia",2020-07-12,1.25306113920511,1.61969014676373,0.89996882375453,1.41952885706411,1.08331265108411,7,2021-02-25
"105","Georgia",2020-07-13,1.25510942053039,1.61818636894233,0.898230478206877,1.42331921522223,1.08681653926987,7,2021-02-25
"106","Georgia",2020-07-14,1.20543809308952,1.56433579256406,0.827056307709134,1.377282684205,1.03692896309603,7,2021-02-25
"107","Georgia",2020-07-15,1.19587294509114,1.5592471185465,0.805881997196744,1.36793607252641,1.0248121740387,7,2021-02-25
"108","Georgia",2020-07-16,1.20404808182891,1.56765574189804,0.809039432167062,1.37900557187148,1.02934464674657,7,2021-02-25
"109","Georgia",2020-07-17,1.28256262670789,1.64982697600093,0.913973254921998,1.45353506690332,1.11259887128489,7,2021-02-25
"110","Georgia",2020-07-18,1.39959559960861,1.79287351262109,1.02954386209127,1.5769455444342,1.22191487159063,7,2021-02-25
"111","Georgia",2020-07-19,1.48997800827403,1.91699514042351,1.11376712857106,1.67899987498019,1.29608870105541,7,2021-02-25
"112","Georgia",2020-07-20,1.54294463590806,1.99048500451499,1.15465835860376,1.74575634116393,1.33865075737861,7,2021-02-25
"113","Georgia",2020-07-21,1.57249875098754,2.03745183901618,1.16593638663985,1.78364325043991,1.35912849980051,7,2021-02-25
"114","Georgia",2020-07-22,1.61372911605362,2.12597807902268,1.18269798585665,1.84431395857874,1.38203006844771,7,2021-02-25
"115","Georgia",2020-07-23,1.50191398126126,1.94915783377498,1.11886264986106,1.69955512837106,1.30125752012411,7,2021-02-25
"116","Georgia",2020-07-24,1.41801791596433,1.83592079809151,1.04832706124337,1.60271294136368,1.23116392588664,7,2021-02-25
"117","Georgia",2020-07-25,1.29314052846512,1.66809124290482,0.935291050640264,1.46516133711442,1.12284167764127,7,2021-02-25
"118","Georgia",2020-07-26,1.18190482599438,1.54104711346814,0.814638590288806,1.34965490918545,1.01557594613245,7,2021-02-25
"119","Georgia",2020-07-27,1.06672610283843,1.42087803206324,0.67287530673626,1.24227065663032,0.892589817571502,7,2021-02-25
"120","Georgia",2020-07-28,0.99556970624791,1.36253952145555,0.586065633525438,1.17900846419892,0.813033408959808,7,2021-02-25
"121","Georgia",2020-07-29,0.946584119408243,1.31469960340498,0.527502716111989,1.13287045101482,0.760928606497841,7,2021-02-25
"122","Georgia",2020-07-30,0.891312786637216,1.26470913684468,0.462685215517755,1.08354984035022,0.700090793666818,7,2021-02-25
"123","Georgia",2020-07-31,0.868916938414683,1.24869363405147,0.439931164025025,1.06446990332468,0.674676504817056,7,2021-02-25
"124","Georgia",2020-08-01,0.846069781962689,1.23273710892399,0.406242455431597,1.04687032964377,0.647135098554381,7,2021-02-25
"125","Georgia",2020-08-02,0.863068889521185,1.24525300365395,0.432973350343873,1.05890443303467,0.669779895084594,7,2021-02-25
"126","Georgia",2020-08-03,0.888655063194449,1.26199447541494,0.460859628128229,1.08163035793518,0.698652582724694,7,2021-02-25
"127","Georgia",2020-08-04,0.966761979034886,1.32327166196522,0.573790486235912,1.14542046388911,0.78826060759166,7,2021-02-25
"128","Georgia",2020-08-05,1.08982191218355,1.45572330782547,0.71936295763897,1.25692621693499,0.920786361664318,7,2021-02-25
"129","Georgia",2020-08-06,1.11085674919353,1.4747280730916,0.749721849858317,1.27921500934806,0.943205082207803,7,2021-02-25
"130","Georgia",2020-08-07,1.12856537499337,1.49139950733912,0.76749252908485,1.29700489444539,0.96020897931218,7,2021-02-25
"131","Georgia",2020-08-08,1.16959012087354,1.53738411236187,0.810042248526734,1.33684636821694,1.00203161011371,7,2021-02-25
"132","Georgia",2020-08-09,1.2810782091528,1.68352813799403,0.921068967997961,1.45705264716298,1.10431310754551,7,2021-02-25
"133","Georgia",2020-08-10,1.39873387068723,1.87409435797119,1.0059975091704,1.60350077112609,1.195079378962,7,2021-02-25
"134","Georgia",2020-08-11,1.3477280587304,1.76621411450799,0.975740228226317,1.53239218508413,1.16182241887345,7,2021-02-25
"135","Georgia",2020-08-12,1.29795048781082,1.690061771029,0.939244397537356,1.47642121708354,1.11741845664101,7,2021-02-25
"136","Georgia",2020-08-13,1.2451320725126,1.61706686235777,0.882510760912087,1.41571077304693,1.07382339854686,7,2021-02-25
"137","Georgia",2020-08-14,1.26683115289956,1.6619529555731,0.912035450179369,1.4400883081564,1.09102642554707,7,2021-02-25
"138","Georgia",2020-08-15,1.20298361866651,1.57466084645616,0.848254558275904,1.37069512499435,1.03487123473797,7,2021-02-25
"139","Georgia",2020-08-16,1.13574082364353,1.49456546938634,0.766411663254037,1.30325398162799,0.968302978606873,7,2021-02-25
"140","Georgia",2020-08-17,1.05921329721306,1.41348064717497,0.670777065914325,1.23397322546326,0.884861946375284,7,2021-02-25
"141","Georgia",2020-08-18,1.03951759642412,1.39464217369177,0.643556592607086,1.21895189664175,0.860823571413175,7,2021-02-25
"142","Georgia",2020-08-19,1.03446534725671,1.39224451770345,0.639609489921785,1.21410344812786,0.857221250765564,7,2021-02-25
"143","Georgia",2020-08-20,1.03805160340435,1.39838289014677,0.646169646523796,1.21758831701769,0.861051244866389,7,2021-02-25
