"","ds","country","polygon_source","polygon_id","polygon_name","all_day_bing_tiles_visited_relative_change","all_day_ratio_single_tile_users","baseline_name","baseline_type"
"50",2020-04-19,"GEO","GADM","GEO.1.1_1","Gagra",-0.19154,0.33139,"full_february","DAY_OF_WEEK"
"51",2020-04-20,"GEO","GADM","GEO.1.1_1","Gagra",-0.30063,0.2983,"full_february","DAY_OF_WEEK"
"52",2020-04-21,"GEO","GADM","GEO.1.1_1","Gagra",-0.22825,0.27918,"full_february","DAY_OF_WEEK"
"53",2020-04-22,"GEO","GADM","GEO.1.1_1","Gagra",-0.31174,0.28626,"full_february","DAY_OF_WEEK"
"54",2020-04-23,"GEO","GADM","GEO.1.1_1","Gagra",-0.33746,0.2974,"full_february","DAY_OF_WEEK"
"55",2020-04-24,"GEO","GADM","GEO.1.1_1","Gagra",-0.27187,0.31063,"full_february","DAY_OF_WEEK"
"56",2020-04-25,"GEO","GADM","GEO.1.1_1","Gagra",-0.29302,0.29504,"full_february","DAY_OF_WEEK"
"57",2020-04-26,"GEO","GADM","GEO.1.1_1","Gagra",-0.17959,0.31496,"full_february","DAY_OF_WEEK"
"58",2020-04-27,"GEO","GADM","GEO.1.1_1","Gagra",-0.24969,0.28606,"full_february","DAY_OF_WEEK"
"59",2020-04-28,"GEO","GADM","GEO.1.1_1","Gagra",-0.23315,0.2938,"full_february","DAY_OF_WEEK"
"60",2020-04-29,"GEO","GADM","GEO.1.1_1","Gagra",-0.16665,0.2537,"full_february","DAY_OF_WEEK"
"61",2020-04-30,"GEO","GADM","GEO.1.1_1","Gagra",-0.20047,0.27095,"full_february","DAY_OF_WEEK"
"62",2020-05-01,"GEO","GADM","GEO.1.1_1","Gagra",-0.26338,0.27657,"full_february","DAY_OF_WEEK"
"63",2020-05-02,"GEO","GADM","GEO.1.1_1","Gagra",-0.33036,0.33319,"full_february","DAY_OF_WEEK"
"64",2020-05-03,"GEO","GADM","GEO.1.1_1","Gagra",-0.14276,0.31134,"full_february","DAY_OF_WEEK"
"65",2020-05-04,"GEO","GADM","GEO.1.1_1","Gagra",-0.16326,0.28108,"full_february","DAY_OF_WEEK"
"66",2020-05-05,"GEO","GADM","GEO.1.1_1","Gagra",-0.22495,0.24167,"full_february","DAY_OF_WEEK"
"67",2020-05-06,"GEO","GADM","GEO.1.1_1","Gagra",-0.27901,0.33229,"full_february","DAY_OF_WEEK"
"68",2020-05-07,"GEO","GADM","GEO.1.1_1","Gagra",-0.27221,0.282,"full_february","DAY_OF_WEEK"
"69",2020-05-08,"GEO","GADM","GEO.1.1_1","Gagra",-0.27408,0.3124,"full_february","DAY_OF_WEEK"
"70",2020-05-09,"GEO","GADM","GEO.1.1_1","Gagra",-0.35951,0.32682,"full_february","DAY_OF_WEEK"
"71",2020-05-10,"GEO","GADM","GEO.1.1_1","Gagra",-0.17944,0.29499,"full_february","DAY_OF_WEEK"
"72",2020-05-11,"GEO","GADM","GEO.1.1_1","Gagra",-0.22529,0.27084,"full_february","DAY_OF_WEEK"
"73",2020-05-12,"GEO","GADM","GEO.1.1_1","Gagra",-0.18097,0.2413,"full_february","DAY_OF_WEEK"
"74",2020-05-13,"GEO","GADM","GEO.1.1_1","Gagra",-0.15428,0.2397,"full_february","DAY_OF_WEEK"
"75",2020-05-14,"GEO","GADM","GEO.1.1_1","Gagra",-0.16468,0.24563,"full_february","DAY_OF_WEEK"
"76",2020-05-15,"GEO","GADM","GEO.1.1_1","Gagra",0.00845,0.23421,"full_february","DAY_OF_WEEK"
"77",2020-05-16,"GEO","GADM","GEO.1.1_1","Gagra",-0.17758,0.26282,"full_february","DAY_OF_WEEK"
"78",2020-05-17,"GEO","GADM","GEO.1.1_1","Gagra",-0.01812,0.25626,"full_february","DAY_OF_WEEK"
"79",2020-05-18,"GEO","GADM","GEO.1.1_1","Gagra",-0.12534,0.25822,"full_february","DAY_OF_WEEK"
"80",2020-05-19,"GEO","GADM","GEO.1.1_1","Gagra",-0.16077,0.23673,"full_february","DAY_OF_WEEK"
"81",2020-05-20,"GEO","GADM","GEO.1.1_1","Gagra",-0.20407,0.22824,"full_february","DAY_OF_WEEK"
"82",2020-05-21,"GEO","GADM","GEO.1.1_1","Gagra",-0.18285,0.23661,"full_february","DAY_OF_WEEK"
"83",2020-05-22,"GEO","GADM","GEO.1.1_1","Gagra",-0.24526,0.26399,"full_february","DAY_OF_WEEK"
"84",2020-05-23,"GEO","GADM","GEO.1.1_1","Gagra",-0.28865,0.29438,"full_february","DAY_OF_WEEK"
"85",2020-05-24,"GEO","GADM","GEO.1.1_1","Gagra",-0.14878,0.24966,"full_february","DAY_OF_WEEK"
"86",2020-05-25,"GEO","GADM","GEO.1.1_1","Gagra",-0.26559,0.29533,"full_february","DAY_OF_WEEK"
"87",2020-05-26,"GEO","GADM","GEO.1.1_1","Gagra",-0.18988,0.2394,"full_february","DAY_OF_WEEK"
"88",2020-05-27,"GEO","GADM","GEO.1.1_1","Gagra",-0.16107,0.23868,"full_february","DAY_OF_WEEK"
"89",2020-05-28,"GEO","GADM","GEO.1.1_1","Gagra",-0.17,0.24938,"full_february","DAY_OF_WEEK"
"90",2020-05-29,"GEO","GADM","GEO.1.1_1","Gagra",-0.23669,0.28548,"full_february","DAY_OF_WEEK"
"91",2020-05-30,"GEO","GADM","GEO.1.1_1","Gagra",-0.2421,0.27578,"full_february","DAY_OF_WEEK"
"92",2020-05-31,"GEO","GADM","GEO.1.1_1","Gagra",-0.09486,0.25171,"full_february","DAY_OF_WEEK"
"93",2020-06-01,"GEO","GADM","GEO.1.1_1","Gagra",-0.14627,0.24706,"full_february","DAY_OF_WEEK"
"94",2020-06-02,"GEO","GADM","GEO.1.1_1","Gagra",-0.20014,0.24637,"full_february","DAY_OF_WEEK"
"95",2020-06-03,"GEO","GADM","GEO.1.1_1","Gagra",-0.16919,0.23518,"full_february","DAY_OF_WEEK"
"96",2020-06-04,"GEO","GADM","GEO.1.1_1","Gagra",-0.18834,0.25511,"full_february","DAY_OF_WEEK"
"97",2020-06-05,"GEO","GADM","GEO.1.1_1","Gagra",-0.17825,0.23363,"full_february","DAY_OF_WEEK"
"98",2020-06-06,"GEO","GADM","GEO.1.1_1","Gagra",-0.24486,0.22374,"full_february","DAY_OF_WEEK"
"99",2020-06-07,"GEO","GADM","GEO.1.1_1","Gagra",-0.07479,0.24781,"full_february","DAY_OF_WEEK"
"100",2020-06-08,"GEO","GADM","GEO.1.1_1","Gagra",-0.12494,0.2212,"full_february","DAY_OF_WEEK"
"101",2020-06-09,"GEO","GADM","GEO.1.1_1","Gagra",-0.18689,0.20809,"full_february","DAY_OF_WEEK"
"102",2020-06-10,"GEO","GADM","GEO.1.1_1","Gagra",-0.16581,0.24017,"full_february","DAY_OF_WEEK"
"103",2020-06-11,"GEO","GADM","GEO.1.1_1","Gagra",-0.14079,0.19842,"full_february","DAY_OF_WEEK"
"104",2020-06-12,"GEO","GADM","GEO.1.1_1","Gagra",-0.0813,0.23585,"full_february","DAY_OF_WEEK"
"105",2020-06-13,"GEO","GADM","GEO.1.1_1","Gagra",-0.20085,0.26254,"full_february","DAY_OF_WEEK"
"106",2020-06-14,"GEO","GADM","GEO.1.1_1","Gagra",-0.09183,0.23608,"full_february","DAY_OF_WEEK"
"107",2020-06-15,"GEO","GADM","GEO.1.1_1","Gagra",-0.11809,0.22848,"full_february","DAY_OF_WEEK"
